WELL_ID,WELL_NAME,WELL_TYPE,HOST_WELL_ID,STATUS,NORTHING,EASTING,SORT_NAME
A4985,299-W23-2,GROUNDWATER WELL,,IN-USE,134258.585,566853.868,1-0299-W0023A-A0002A
A4986,299-W23-3,GROUNDWATER WELL,,IN-USE,134162.585,566851.07,1-0299-W0023A-A0003A
A5009,299-W7-3,GROUNDWATER WELL,,IN-USE,137638.641,566292.031,1-0299-W0007A-A0003A
A5017,299-W9-1,GROUNDWATER WELL,,IN-USE,137023.769,565657.655,1-0299-W0009A-A0001A
A4919,299-W15-15,GROUNDWATER WELL,,IN-USE,135751.493,566088.805,1-0299-W0015A-A0015A
A4924,299-W15-20,GROUNDWATER WELL,,DECOMMISSIONED-V,135964.193,566082.884,1-0299-W0015A-A0020A
A4904,299-W11-19,GROUNDWATER WELL,,DECOMMISSIONED-V,137117.1,567213.954,1-0299-W0011A-A0019A
A4912,299-W12-1,GROUNDWATER WELL,,IN-USE,137206.116,568331.248,1-0299-W0012A-A0001A
A4802,299-E26-13,GROUNDWATER WELL,,IN-USE,136528.6,576199.3,1-0299-E0026A-A0013A
A5409,299-W26-12,GROUNDWATER WELL,,IN-USE,133689.86,566900.97,1-0299-W0026A-A0012A
A5410,299-W27-2,GROUNDWATER WELL,,IN-USE,133670.351,566908.267,1-0299-W0027A-A0002A
A5151,699-39-79,INDEPENDENT PIEZOMETER,,IN-USE,135411.873,565890.897,1-0699-A0039-A0079A
A5159,699-41-23,GROUNDWATER WELL,,IN-USE,135903.024,582921.873,1-0699-A0041-A0023A
A5168,699-42-40B,GROUNDWATER WELL,,IN-USE,136413.88,577638.031,1-0699-A0042-A0040B
A5170,699-42-41,GROUNDWATER WELL,,DECOMMISSIONED-V,136365.592,577335.188,1-0699-A0042-A0041A
A5220,699-49-57B,GROUNDWATER WELL,,IN-USE,138381.034,572536.452,1-0699-A0049-A0057B
A5224,699-50-42,PIEZOMETER HOST,,IN-USE,138786.691,577111.013,1-0699-A0050-A0042A
A5233,699-52-19,GROUNDWATER WELL,,IN-USE,139318.377,584209.399,1-0699-A0052-A0019A
A5857,299-E13-9,GROUNDWATER WELL,,IN-USE,134421.205,573347.153,1-0299-E0013A-A0009A
A5863,299-E13-18,GROUNDWATER WELL,,IN-USE,134216.143,573118.629,1-0299-E0013A-A0018A
A5868,299-E13-52,VADOSE WELL,,DECOMMISSIONED-V,134400.904,573089.757,1-0299-E0013A-A0052A
A6511,299-E25-72,VADOSE WELL,,IN-USE,136083.343,575373.015,1-0299-E0025A-A0072A
A5944,299-E24-89,VADOSE WELL,,IN-USE,135421.477,574826.902,1-0299-E0024A-A0089A
A5963,299-E24-108,VADOSE WELL,,IN-USE,135435.842,574829.795,1-0299-E0024A-A0108A
A5973,299-E24-120,UNCLASSIFIED,,DECOMMISSIONED-V,135848.351,574763.957,1-0299-E0024A-A0120A
A5979,299-E24-124C,UNCLASSIFIED,,DECOMMISSIONED-V,135278,574850,1-0299-E0024A-A0124C
A5982,299-E24-124F,UNCLASSIFIED,,DECOMMISSIONED-V,135278,574850,1-0299-E0024A-A0124F
A5983,299-E24-124G,UNCLASSIFIED,,DECOMMISSIONED-V,135278,574850,1-0299-E0024A-A0124G
A5870,299-E13-55,VADOSE WELL,,DECOMMISSIONED-V,134242.766,573287.824,1-0299-E0013A-A0055A
A5873,299-E13-58,VADOSE WELL,,DECOMMISSIONED-V,134372.382,573087.678,1-0299-E0013A-A0058A
A5927,299-E24-72,VADOSE WELL,,IN-USE,136048.61,575308.097,1-0299-E0024A-A0072A
A5931,299-E24-76,VADOSE WELL,,IN-USE,135418.629,574830.697,1-0299-E0024A-A0076A
A5880,299-E17-3,GROUNDWATER WELL,,IN-USE,135390.495,575160.625,1-0299-E0017A-A0003A
A5896,299-E24-1,GROUNDWATER WELL,,DECOMMISSIONED-V,135490.738,575032.1,1-0299-E0024A-A0001A
A5898,299-E24-4,GROUNDWATER WELL,,IN-USE,136035.197,575112.422,1-0299-E0024A-A0004A
A5904,299-E24-12,GROUNDWATER WELL,,DECOMMISSIONED-V,135437.372,575202.222,1-0299-E0024A-A0012A
A5910,299-E24-53,VADOSE WELL,,DECOMMISSIONED-V,135527.688,575189.278,1-0299-E0024A-A0053A
