row,col,FID,Shape,x,y,row_col_id,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score
74,52,2890,Point,566050,135450,10740052,2,4,0,4,0,0,4,3,0,0,0.0,0.0,0.0,0,1.0,0.0,0,0.0
74,53,2891,Point,566150,135450,10740053,0,4,0,4,0,0,4,3,0,0,0.0,0.0,0.0,0,1.0,0.0,0,0.0
74,54,2892,Point,566250,135450,10740054,0,1,0,4,0,0,0,3,0,0,0.0,0.0,0.0,0,1.75,0.0,0,0.0
74,55,2893,Point,566350,135450,10740055,0,0,0,4,0,0,0,3,0,0,0.0,0.0,0.0,0,2.25,0.0,0,0.0
74,56,2894,Point,566450,135450,10740056,0,0,0,3,0,0,0,4,0,0,0.0,0.0,0.0,0,2.25,0.75,0,0.0
74,57,2895,Point,566550,135450,10740057,0,0,0,4,0,0,0,4,1,0,0.0,0.0,0.0,0,2.5,1.5,0,0.0
74,58,2896,Point,566650,135450,10740058,0,1,0,4,0,0,0,4,3,0,0.0,0.0,0.0,0,2.5,0.25,0,0.0
74,59,2897,Point,566750,135450,10740059,0,1,0,4,0,0,0,3,4,0,0.0,0.0,0.0,0,2.5,0.25,0,1.0
74,60,2898,Point,566850,135450,10740060,1,0,0,3,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,0.75,0,2.0
74,61,2899,Point,566950,135450,10740061,2,0,0,3,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,0.75,0,3.0
74,62,2900,Point,567050,135450,10740062,3,0,3,0,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,2.5,0,3.0
74,63,2901,Point,567150,135450,10740063,3,0,4,0,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,2.5,0,4.0
74,64,2902,Point,567250,135450,10740064,4,0,4,0,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,2.5,0,4.0
74,65,2903,Point,567350,135450,10740065,4,0,4,0,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,2.5,0,4.0
74,66,2904,Point,567450,135450,10740066,4,0,4,0,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,2.5,0,4.0
74,67,2905,Point,567550,135450,10740067,4,0,4,0,0,1,0,0,4,0,0.0,0.0,0.0,0,2.5,2.5,1,4.0
74,68,2906,Point,567650,135450,10740068,4,0,4,0,0,1,0,4,3,0,0.0,0.0,0.0,0,2.5,2.5,3,3.0
74,69,2907,Point,567750,135450,10740069,4,0,4,0,0,1,0,4,2,1,0.0,0.0,0.0,0,2.5,2.5,4,3.0
74,70,2908,Point,567850,135450,10740070,4,0,4,0,0,1,0,4,0,0,0.0,0.0,0.0,0,2.5,2.5,4,3.0
74,71,2909,Point,567950,135450,10740071,4,0,4,0,0,1,0,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,1.0
74,72,2910,Point,568050,135450,10740072,4,0,4,0,1,1,0,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,1.0
74,73,2911,Point,568150,135450,10740073,4,0,4,0,1,2,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,74,2912,Point,568250,135450,10740074,4,0,4,0,1,2,4,3,1,1,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,75,2913,Point,568350,135450,10740075,4,0,4,0,1,2,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,76,2914,Point,568450,135450,10740076,4,0,4,0,1,2,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,77,2915,Point,568550,135450,10740077,4,0,4,0,1,2,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,78,2916,Point,568650,135450,10740078,4,0,3,0,0,1,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,79,2917,Point,568750,135450,10740079,3,0,0,0,0,1,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,80,2918,Point,568850,135450,10740080,2,0,0,0,0,1,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,81,2919,Point,568950,135450,10740081,0,0,0,0,0,2,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,3,0.0
74,82,2920,Point,569050,135450,10740082,0,0,0,0,0,2,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,1,0.0
