pw_id,row,col,x,y,outfile
PW-1356,55,75,568350.0,137350.0,data\breakthroughcurves\PW-1356_r0055_c0075.png
PW-1361,55,80,568850.0,137350.0,data\breakthroughcurves\PW-1361_r0055_c0080.png
PW-1366,55,85,569350.0,137350.0,data\breakthroughcurves\PW-1366_r0055_c0085.png
PW-1371,55,90,569850.0,137350.0,data\breakthroughcurves\PW-1371_r0055_c0090.png
PW-1376,55,95,570350.0,137350.0,data\breakthroughcurves\PW-1376_r0055_c0095.png
PW-1381,55,100,570850.0,137350.0,data\breakthroughcurves\PW-1381_r0055_c0100.png
PW-1386,55,105,571350.0,137350.0,data\breakthroughcurves\PW-1386_r0055_c0105.png
PW-1391,55,110,571850.0,137350.0,data\breakthroughcurves\PW-1391_r0055_c0110.png
PW-1396,56,33,564150.0,137250.0,data\breakthroughcurves\PW-1396_r0056_c0033.png
PW-1401,56,38,564650.0,137250.0,data\breakthroughcurves\PW-1401_r0056_c0038.png
PW-1406,56,43,565150.0,137250.0,data\breakthroughcurves\PW-1406_r0056_c0043.png
PW-1411,56,48,565650.0,137250.0,data\breakthroughcurves\PW-1411_r0056_c0048.png
PW-1416,56,53,566150.0,137250.0,data\breakthroughcurves\PW-1416_r0056_c0053.png
PW-1421,56,58,566650.0,137250.0,data\breakthroughcurves\PW-1421_r0056_c0058.png
PW-1426,56,63,567150.0,137250.0,data\breakthroughcurves\PW-1426_r0056_c0063.png
PW-1431,56,68,567650.0,137250.0,data\breakthroughcurves\PW-1431_r0056_c0068.png
PW-1436,56,73,568150.0,137250.0,data\breakthroughcurves\PW-1436_r0056_c0073.png
PW-1441,56,78,568650.0,137250.0,data\breakthroughcurves\PW-1441_r0056_c0078.png
PW-1446,56,83,569150.0,137250.0,data\breakthroughcurves\PW-1446_r0056_c0083.png
PW-1451,56,88,569650.0,137250.0,data\breakthroughcurves\PW-1451_r0056_c0088.png
PW-1456,56,93,570150.0,137250.0,data\breakthroughcurves\PW-1456_r0056_c0093.png
PW-1461,56,98,570650.0,137250.0,data\breakthroughcurves\PW-1461_r0056_c0098.png
PW-1466,56,103,571150.0,137250.0,data\breakthroughcurves\PW-1466_r0056_c0103.png
PW-1471,56,108,571650.0,137250.0,data\breakthroughcurves\PW-1471_r0056_c0108.png
